Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
curr_size;merge.c;62;0.6808018684387207;0-2;LSB bit-flip
data;merge.c;102;0.15891337394714355;0-2;LSB bit-flip
left_start;merge.c;64;0.22387266159057617;0-2;LSB bit-flip
data;merge.c;102;0.17226648330688477;0-2;LSB bit-flip
size;merge.c;100;0.47553300857543945;0-2;LSB bit-flip
size;merge.c;100;0.6495497226715088;0-2;LSB bit-flip
curr_size;merge.c;62;0.9509825706481934;0-2;LSB bit-flip
arr;merge.c;60;0.8483531475067139;0-2;LSB bit-flip
arr;merge.c;60;0.4159691333770752;0-2;LSB bit-flip
i;merge.c;10;0.7551438808441162;0-2;LSB bit-flip
curr_size;merge.c;62;0.28942155838012695;0-2;LSB bit-flip
i;merge.c;10;0.7788424491882324;0-2;LSB bit-flip
curr_size;merge.c;62;1.0224778652191162;0-2;LSB bit-flip
curr_size;merge.c;62;0.2821648120880127;0-2;LSB bit-flip
size;merge.c;100;1.1026971340179443;0-2;LSB bit-flip
left_start;merge.c;64;0.40129923820495605;0-2;LSB bit-flip
data;merge.c;102;0.39026641845703125;0-2;LSB bit-flip
curr_size;merge.c;62;0.5587973594665527;0-2;LSB bit-flip
arr;merge.c;8;1.1031465530395508;0-2;LSB bit-flip
size;merge.c;100;0.8089227676391602;0-2;LSB bit-flip
curr_size;merge.c;62;1.165663242340088;0-2;LSB bit-flip
left_start;merge.c;64;0.46684932708740234;0-2;LSB bit-flip
left_start;merge.c;64;0.4070582389831543;0-2;LSB bit-flip
arr;merge.c;60;0.5739600658416748;0-2;LSB bit-flip
j;merge.c;10;1.107872486114502;0-2;LSB bit-flip
data;merge.c;102;0.7960515022277832;0-2;LSB bit-flip
arr;merge.c;8;0.8540487289428711;0-2;LSB bit-flip
arr;merge.c;60;0.9470665454864502;0-2;LSB bit-flip
curr_size;merge.c;62;0.8619120121002197;0-2;LSB bit-flip
arr;merge.c;60;1.0411622524261475;0-2;LSB bit-flip
left_start;merge.c;64;0.6781668663024902;0-2;LSB bit-flip
n;merge.c;60;0.42240190505981445;0-2;LSB bit-flip
data;merge.c;102;0.46572232246398926;0-2;LSB bit-flip
i;merge.c;10;1.0824525356292725;0-2;LSB bit-flip
curr_size;merge.c;62;0.7970678806304932;0-2;LSB bit-flip
left_start;merge.c;64;0.4124891757965088;0-2;LSB bit-flip
size;merge.c;100;0.7785091400146484;0-2;LSB bit-flip
size;merge.c;100;0.843193531036377;0-2;LSB bit-flip
data;merge.c;102;0.3796226978302002;0-2;LSB bit-flip
i;merge.c;10;0.8071334362030029;0-2;LSB bit-flip
left_start;merge.c;64;0.4278128147125244;0-2;LSB bit-flip
R;merge.c;15;0.743844747543335;0-2;LSB bit-flip
i;merge.c;10;0.8334393501281738;0-2;LSB bit-flip
arr;merge.c;60;0.5492198467254639;0-2;LSB bit-flip
size;merge.c;100;0.7887494564056396;0-2;LSB bit-flip
arr;merge.c;60;0.9562857151031494;0-2;LSB bit-flip
arr;merge.c;8;0.20592808723449707;0-2;LSB bit-flip
curr_size;merge.c;62;1.125654697418213;0-2;LSB bit-flip
size;merge.c;100;0.6639115810394287;0-2;LSB bit-flip
arr;merge.c;60;0.9207515716552734;0-2;LSB bit-flip
arr;merge.c;8;1.1386353969573975;0-2;LSB bit-flip
data;merge.c;102;0.7337515354156494;0-2;LSB bit-flip
left_start;merge.c;64;1.1409919261932373;0-2;LSB bit-flip
data;merge.c;102;0.6078188419342041;0-2;LSB bit-flip
arr;merge.c;60;0.21412038803100586;0-2;LSB bit-flip
