Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_rtld_global;rtld.c;140;0.7042465209960938;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.6935687065124512;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.47869014739990234;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8110706806182861;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.3588602542877197;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7017834186553955;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8443603515625;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.3138458728790283;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0029983520507812;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7517850399017334;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.9902293682098389;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.6031076908111572;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.5746066570281982;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.34513163566589355;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.8278579711914062;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.4705052375793457;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.17371535301208496;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.28121256828308105;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9978508949279785;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6769871711730957;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.25556278228759766;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9230592250823975;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6968510150909424;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5091526508331299;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0920755863189697;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.16762757301330566;0-2;LSB bit-flip
_rtld_local_ro;rtld.c;202;0.412569522857666;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.2332930564880371;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8493328094482422;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6486012935638428;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;1.1569805145263672;0-2;LSB bit-flip
_rtld_local;rtld.c;162;0.31541895866394043;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6679563522338867;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1019408702850342;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9559471607208252;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.9528400897979736;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.47251009941101074;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7839434146881104;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.35066699981689453;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8557937145233154;0-2;LSB bit-flip
_dl_argv;rtld.c;86;1.1085684299468994;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.19036531448364258;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.3894784450531006;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7032127380371094;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.2867288589477539;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.3247716426849365;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.680396556854248;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8864469528198242;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7962687015533447;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.47308897972106934;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.202347993850708;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9445350170135498;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.4903888702392578;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;1.0021305084228516;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.00827956199646;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8596062660217285;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8843462467193604;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8604855537414551;0-2;LSB bit-flip
_dl_argv;rtld.c;86;0.6759390830993652;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9655160903930664;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.040750503540039;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.42525148391723633;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7400345802307129;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.31702375411987305;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.1856245994567871;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1651346683502197;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7958345413208008;0-2;LSB bit-flip
_dl_argv;rtld.c;86;1.1102535724639893;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.21146678924560547;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5306148529052734;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8656041622161865;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.075364112854004;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9840841293334961;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.9320406913757324;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.2916238307952881;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.4162123203277588;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.1669728755950928;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0784595012664795;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.3094038963317871;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8609299659729004;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6855170726776123;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.43771934509277344;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.3233611583709717;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7188675403594971;0-2;LSB bit-flip
