Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_dl_rtld_libname2;rtld.c;211;0.6634974479675293;0-2;LSB bit-flip
version_info;rtld.c;747;0.46247196197509766;0-2;LSB bit-flip
rtld_total_time;rtld.c;326;0.5744798183441162;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.6693553924560547;0-2;LSB bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;58;0.24600744247436523;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;1.1606497764587402;0-2;LSB bit-flip
any_debug;rtld.c;2239;0.28971147537231445;0-2;LSB bit-flip
_rtld_local;rtld.c;162;1.0464985370635986;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;0.3423745632171631;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.24532246589660645;0-2;LSB bit-flip
preloadlist;rtld.c;745;0.604987621307373;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9575908184051514;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.48165106773376465;0-2;LSB bit-flip
load_time;rtld.c;216;0.20892977714538574;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.2582366466522217;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.4811842441558838;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.7213549613952637;0-2;LSB bit-flip
load_time;rtld.c;216;0.842273473739624;0-2;LSB bit-flip
file_size;rtld.c;794;0.3389756679534912;0-2;LSB bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;58;0.5571188926696777;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7294306755065918;0-2;LSB bit-flip
version_info;rtld.c;747;0.6417646408081055;0-2;LSB bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;58;1.1576597690582275;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;210;0.9117281436920166;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.7032029628753662;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;211;0.3844890594482422;0-2;LSB bit-flip
_rtld_global;rtld.c;140;0.5764992237091064;0-2;LSB bit-flip
preloadlist;rtld.c;745;0.4864158630371094;0-2;LSB bit-flip
relocate_time;rtld.c;215;0.4642515182495117;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;168;0.4815044403076172;0-2;LSB bit-flip
tls_init_tp_called;rtld.c;585;0.16958284378051758;0-2;LSB bit-flip
load_time;rtld.c;216;0.4259514808654785;0-2;LSB bit-flip
preload_file;rtld.c;1551;0.33123350143432617;0-2;LSB bit-flip
