Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
X;recursive_merge.c;40;0.6370065212249756;0-2;LSB bit-flip
X;recursive_merge.c;40;1.1527636051177979;0-2;LSB bit-flip
l;recursive_merge.c;40;0.8716416358947754;0-2;LSB bit-flip
l;recursive_merge.c;40;1.3324592113494873;0-2;LSB bit-flip
l;recursive_merge.c;40;0.9913280010223389;0-2;LSB bit-flip
X;recursive_merge.c;40;1.8168556690216064;0-2;LSB bit-flip
l;recursive_merge.c;40;1.4093561172485352;0-2;LSB bit-flip
X;recursive_merge.c;40;0.702599287033081;0-2;LSB bit-flip
l;recursive_merge.c;40;0.42447876930236816;0-2;LSB bit-flip
X;recursive_merge.c;40;1.3657805919647217;0-2;LSB bit-flip
X;recursive_merge.c;40;1.2583339214324951;0-2;LSB bit-flip
l;recursive_merge.c;40;0.9252960681915283;0-2;LSB bit-flip
X;recursive_merge.c;40;1.3170006275177002;0-2;LSB bit-flip
X;recursive_merge.c;40;0.8612461090087891;0-2;LSB bit-flip
X;recursive_merge.c;40;1.3889594078063965;0-2;LSB bit-flip
X;recursive_merge.c;40;1.343430995941162;0-2;LSB bit-flip
X;recursive_merge.c;40;1.2843763828277588;0-2;LSB bit-flip
X;recursive_merge.c;40;1.176778793334961;0-2;LSB bit-flip
X;recursive_merge.c;40;0.8285517692565918;0-2;LSB bit-flip
X;recursive_merge.c;40;0.9935173988342285;0-2;LSB bit-flip
X;recursive_merge.c;40;1.0328917503356934;0-2;LSB bit-flip
X;recursive_merge.c;40;0.9324221611022949;0-2;LSB bit-flip
l;recursive_merge.c;40;1.3916594982147217;0-2;LSB bit-flip
X;recursive_merge.c;40;1.2475700378417969;0-2;LSB bit-flip
X;recursive_merge.c;40;1.2291617393493652;0-2;LSB bit-flip
X;recursive_merge.c;40;1.426745891571045;0-2;LSB bit-flip
size;recursive_merge.c;66;0.9364452362060547;0-2;LSB bit-flip
l;recursive_merge.c;40;1.0275249481201172;0-2;LSB bit-flip
l;recursive_merge.c;40;1.0039951801300049;0-2;LSB bit-flip
X;recursive_merge.c;40;0.7301008701324463;0-2;LSB bit-flip
l;recursive_merge.c;40;0.698664665222168;0-2;LSB bit-flip
X;recursive_merge.c;40;1.7564489841461182;0-2;LSB bit-flip
X;recursive_merge.c;40;1.5632753372192383;0-2;LSB bit-flip
data;recursive_merge.c;68;1.8734097480773926;0-2;LSB bit-flip
l;recursive_merge.c;40;1.116746187210083;0-2;LSB bit-flip
X;recursive_merge.c;40;0.5931980609893799;0-2;LSB bit-flip
X;recursive_merge.c;40;0.9059510231018066;0-2;LSB bit-flip
l;recursive_merge.c;40;1.4355382919311523;0-2;LSB bit-flip
l;recursive_merge.c;40;1.3315966129302979;0-2;LSB bit-flip
X;recursive_merge.c;40;1.4325268268585205;0-2;LSB bit-flip
X;recursive_merge.c;40;1.5418972969055176;0-2;LSB bit-flip
data;recursive_merge.c;68;0.7006328105926514;0-2;LSB bit-flip
X;recursive_merge.c;40;1.4452855587005615;0-2;LSB bit-flip
l;recursive_merge.c;40;1.0523667335510254;0-2;LSB bit-flip
l;recursive_merge.c;40;1.2338905334472656;0-2;LSB bit-flip
size;recursive_merge.c;66;1.5029914379119873;0-2;LSB bit-flip
l;recursive_merge.c;40;1.5100693702697754;0-2;LSB bit-flip
X;recursive_merge.c;40;0.45085835456848145;0-2;LSB bit-flip
X;recursive_merge.c;40;0.9287979602813721;0-2;LSB bit-flip
r;recursive_merge.c;40;0.644463300704956;0-2;LSB bit-flip
l;recursive_merge.c;40;1.03920316696167;0-2;LSB bit-flip
l;recursive_merge.c;40;1.07729172706604;0-2;LSB bit-flip
r;recursive_merge.c;40;1.1091647148132324;0-2;LSB bit-flip
X;recursive_merge.c;40;0.9650921821594238;0-2;LSB bit-flip
X;recursive_merge.c;40;0.35231947898864746;0-2;LSB bit-flip
X;recursive_merge.c;40;0.5593059062957764;0-2;LSB bit-flip
data;recursive_merge.c;68;0.6646249294281006;0-2;LSB bit-flip
l;recursive_merge.c;40;0.7189805507659912;0-2;LSB bit-flip
r;recursive_merge.c;40;1.332329511642456;0-2;LSB bit-flip
X;recursive_merge.c;40;0.8085386753082275;0-2;LSB bit-flip
l;recursive_merge.c;40;1.1412956714630127;0-2;LSB bit-flip
X;recursive_merge.c;6;0.508314847946167;0-2;LSB bit-flip
l;recursive_merge.c;40;0.6526088714599609;0-2;LSB bit-flip
X;recursive_merge.c;40;0.8447091579437256;0-2;LSB bit-flip
X;recursive_merge.c;40;0.5738227367401123;0-2;LSB bit-flip
l;recursive_merge.c;40;0.7478907108306885;0-2;LSB bit-flip
X;recursive_merge.c;40;1.6588239669799805;0-2;LSB bit-flip
size;recursive_merge.c;66;0.806168794631958;0-2;LSB bit-flip
X;recursive_merge.c;40;0.49432897567749023;0-2;LSB bit-flip
X;recursive_merge.c;40;0.7625260353088379;0-2;LSB bit-flip
l;recursive_merge.c;40;0.8576629161834717;0-2;LSB bit-flip
X;recursive_merge.c;40;1.0785610675811768;0-2;LSB bit-flip
l;recursive_merge.c;40;0.9852807521820068;0-2;LSB bit-flip
l;recursive_merge.c;40;0.9428455829620361;0-2;LSB bit-flip
data;recursive_merge.c;68;0.9134533405303955;0-2;LSB bit-flip
l;recursive_merge.c;40;0.588726282119751;0-2;LSB bit-flip
X;recursive_merge.c;40;0.9022889137268066;0-2;LSB bit-flip
X;recursive_merge.c;40;0.6946353912353516;0-2;LSB bit-flip
X;recursive_merge.c;40;1.1103668212890625;0-2;LSB bit-flip
X;recursive_merge.c;40;0.5192162990570068;0-2;LSB bit-flip
X;recursive_merge.c;40;1.1929559707641602;0-2;LSB bit-flip
l;recursive_merge.c;40;1.3060729503631592;0-2;LSB bit-flip
l;recursive_merge.c;40;0.994208812713623;0-2;LSB bit-flip
X;recursive_merge.c;40;1.1838867664337158;0-2;LSB bit-flip
X;recursive_merge.c;40;0.7229511737823486;0-2;LSB bit-flip
X;recursive_merge.c;40;0.41500377655029297;0-2;LSB bit-flip
X;recursive_merge.c;40;0.7171280384063721;0-2;LSB bit-flip
data;recursive_merge.c;68;0.8638076782226562;0-2;LSB bit-flip
X;recursive_merge.c;40;0.34783434867858887;0-2;LSB bit-flip
X;recursive_merge.c;40;1.004523754119873;0-2;LSB bit-flip
X;recursive_merge.c;40;0.4169151782989502;0-2;LSB bit-flip
l;recursive_merge.c;40;0.6749551296234131;0-2;LSB bit-flip
size;recursive_merge.c;66;1.3499069213867188;0-2;LSB bit-flip
size;recursive_merge.c;66;1.193831205368042;0-2;LSB bit-flip
l;recursive_merge.c;40;0.7495627403259277;0-2;LSB bit-flip
l;recursive_merge.c;40;0.7560341358184814;0-2;LSB bit-flip
l;recursive_merge.c;40;1.3063123226165771;0-2;LSB bit-flip
l;recursive_merge.c;40;0.3700408935546875;0-2;LSB bit-flip
data;recursive_merge.c;68;1.1832013130187988;0-2;LSB bit-flip
l;recursive_merge.c;40;0.4591825008392334;0-2;LSB bit-flip
X;recursive_merge.c;40;0.8591437339782715;0-2;LSB bit-flip
X;recursive_merge.c;40;1.058520793914795;0-2;LSB bit-flip
X;recursive_merge.c;40;1.3347575664520264;0-2;LSB bit-flip
l;recursive_merge.c;40;1.6266570091247559;0-2;LSB bit-flip
X;recursive_merge.c;40;1.6089503765106201;0-2;LSB bit-flip
r;recursive_merge.c;40;1.4677813053131104;0-2;LSB bit-flip
X;recursive_merge.c;40;0.3540010452270508;0-2;LSB bit-flip
X;recursive_merge.c;40;1.1698400974273682;0-2;LSB bit-flip
size;recursive_merge.c;66;0.990250825881958;0-2;LSB bit-flip
size;recursive_merge.c;66;0.4709615707397461;0-2;LSB bit-flip
size;recursive_merge.c;66;0.6845459938049316;0-2;LSB bit-flip
l;recursive_merge.c;40;1.3387279510498047;0-2;LSB bit-flip
l;recursive_merge.c;40;0.46816229820251465;0-2;LSB bit-flip
size;recursive_merge.c;66;1.4143686294555664;0-2;LSB bit-flip
X;recursive_merge.c;40;1.2185118198394775;0-2;LSB bit-flip
l;recursive_merge.c;40;0.4529271125793457;0-2;LSB bit-flip
X;recursive_merge.c;40;1.2010548114776611;0-2;LSB bit-flip
X;recursive_merge.c;40;0.825488805770874;0-2;LSB bit-flip
X;recursive_merge.c;40;0.575068473815918;0-2;LSB bit-flip
l;recursive_merge.c;40;0.6174309253692627;0-2;LSB bit-flip
l;recursive_merge.c;40;1.305898904800415;0-2;LSB bit-flip
l;recursive_merge.c;40;0.6114323139190674;0-2;LSB bit-flip
l;recursive_merge.c;40;0.3720560073852539;0-2;LSB bit-flip
data;recursive_merge.c;68;1.4444580078125;0-2;LSB bit-flip
X;recursive_merge.c;40;0.9207091331481934;0-2;LSB bit-flip
l;recursive_merge.c;40;0.5261268615722656;0-2;LSB bit-flip
r;recursive_merge.c;40;0.8167531490325928;0-2;LSB bit-flip
l;recursive_merge.c;40;0.42835092544555664;0-2;LSB bit-flip
l;recursive_merge.c;40;0.5538825988769531;0-2;LSB bit-flip
X;recursive_merge.c;40;1.1721374988555908;0-2;LSB bit-flip
mid;recursive_merge.c;43;0.7404289245605469;0-2;LSB bit-flip
l;recursive_merge.c;40;0.8616847991943359;0-2;LSB bit-flip
data;recursive_merge.c;68;1.1816341876983643;0-2;LSB bit-flip
X;recursive_merge.c;40;0.43484044075012207;0-2;LSB bit-flip
